ustat,alph1,alph2,beta,chi
1.433021853,3.00349205,3.00349205,19,0.625972115
1.431103483,2.943029485,2.505562997,57,0.821337139
1.430144299,1.799854635,1.553895548,45.8,0.62299174
1.408083052,2.035408227,2.035408227,13.6,0.42653303
1.40136876,2.344510523,2.344510523,60,0.802523894
1.34765442,3.125266898,2.660711737,48.2,0.842120013
1.34765442,3.125266898,2.660711737,48.2,0.904831078
1.340940127,2.139826954,2.139826954,13.6,0.183577335
1.340940127,2.139826954,2.139826954,13.6,0.412149114
1.330868689,2.222213843,95.11680844,74.8,1.025932257
1.329429912,2.471377975,2.471377975,54.7,0.687229332
1.3279,2.01417,2.12818,17,0.782485876
1.313123773,1.960250739,1.692372726,36.4,0.553915149
1.312284486,1.459300484,1.459300484,60,0.77075202
1.312284486,1.459300484,1.459300484,60,0.942030246
1.294899265,1.030203628,64.31631474,46.4,0.265942612
1.29394008,2.541755877,2.541755877,45,0.62096666
1.275715572,1.394260549,87.04463649,47.8,0.594442715
1.247539523,1.535035444,1.535035444,54.7,0.918409911
1.247539523,1.535035444,1.535035444,54.7,0.899074965
1.244542071,3.102408395,2.678448857,47.3,0.737955557
1.228715524,1.49948776,1.49948776,89.3,0.696683102
1.228715524,1.49948776,1.49948776,89.3,0.902021279
1.186990993,1.855426774,1.855426774,84.5,0.596748723
1.180996089,2.228934006,1.897614209,46.7,0.838939171
1.176799656,2.22618806,1.893686787,46.7,0.660033781
1.170205261,1.735063023,34.11170237,83.2,1.075010711
1.143827684,1.723729815,73.78033359,77.4,1.026389202
1.125243481,2.339371332,1.991635584,37.6,0.862846925
1.112654183,2.313433846,1.997291605,55.8,0.698047263
1.112654183,2.313433846,1.997291605,55.8,0.698047263
1.088674567,1.348658228,1.348658228,87.1,0.561655441
1.086876096,2.576339974,2.216328943,46.7,0.659962456
1.083878644,2.668612712,2.307606075,46.7,0.641543411
1.082080172,2.438502164,2.076895515,46.7,0.622289492
1.071289345,1.787581846,1.787581846,70.5,0.960116871
1.068291893,2.469975536,2.103701687,46.7,0.62366089
1.052225551,3.122452027,3.122452027,65.9,0.728920007
1.029205119,1.790161995,1.790161995,89,0.861664463
1.029205119,1.790161995,1.790161995,89,0.593849832
1.013858165,2.538867797,2.191918885,46.6,0.603021842
1.003307134,2.856576746,2.856576746,19,0.506707218
0.991796918,3.312698137,3.312698137,60,0.9465099
0.956786679,1.394260549,87.04463649,47.8,0.612354746
0.955347902,3.00349205,3.00349205,19,0.249205337
0.955347902,3.00349205,3.00349205,19,0.494302893
0.937003496,2.462370602,11.31137892,11.6,0.108573735
0.911225408,1.813854054,1.572587606,45.8,0.626774786
0.902832543,2.276778671,2.276778671,60,0.717912344
0.902832543,2.276778671,2.276778671,60,0.954670671
0.894439677,2.943029485,2.505562997,57,0.787006471
0.893840187,1.799854635,1.553895548,45.8,0.599032636
0.887245792,2.222213843,95.11680844,74.8,1.004951616
0.880051908,2.035408227,2.035408227,13.6,0.312967808
0.875855475,2.344510523,2.344510523,60,0.738867945
0.870460061,1.359039871,58.17061012,80.9,1.023001794
0.863266176,1.030203628,64.31631474,46.4,0.293845595
0.842284012,3.125266898,2.660711737,48.2,0.697069281
0.842284012,3.125266898,2.660711737,48.2,0.895255645
0.83808758,2.139826954,2.139826954,13.6,0.135153214
0.83808758,2.139826954,2.139826954,13.6,0.308592152
0.830893695,2.471377975,2.471377975,54.7,0.658200552
0.829694714,3.102408395,2.678448857,47.3,0.605591178
0.820702358,1.960250739,1.692372726,36.4,0.503887954
0.80871255,2.541755877,2.541755877,45,0.7068281
0.791327328,1.855426774,1.855426774,84.5,0.704066851
0.767947203,1.49948776,1.49948776,89.3,0.246368714
0.767947203,1.49948776,1.49948776,89.3,0.930167593
0.702123157,1.735063023,34.11170237,83.2,0.897302431
0.695408864,2.313433846,1.997291605,55.8,0.615569886
0.695408864,2.313433846,1.997291605,55.8,0.615569886
0.68629661,1.723729815,73.78033359,77.4,0.987064529
0.657640969,3.122452027,3.122452027,65.9,0.719958505
0.65320474,1.348658228,1.348658228,87.1,0.691258968
0.643253199,1.790161995,1.790161995,89,0.849561983
0.643253199,1.790161995,1.790161995,89,0.197868069
0.637857786,1.394260549,87.04463649,47.8,0.627990728
0.633661353,2.538867797,2.191918885,46.6,0.593772376
0.627066959,2.856576746,2.856576746,19,0.40547992
0.619873074,3.312698137,3.312698137,60,0.971122705
0.597092439,3.00349205,3.00349205,19,0.182814828
0.597092439,3.00349205,3.00349205,19,0.398939138
0.580306707,1.359039871,58.17061012,80.9,1.003619635
0.532347475,2.222213843,95.11680844,74.8,0.964669938
0.518559196,3.102408395,2.678448857,47.3,0.608789821
0.517959706,1.030203628,64.31631474,46.4,0.324188496
0.474796397,1.855426774,1.855426774,84.5,0.795250857
0.468082105,1.735063023,34.11170237,83.2,1.000706492
